#idx, x0, x1, x2, y, f_neval, total_time (us)
581, 72.894298, 661.135917, 34.865022, 0.051912, 6404, 4826.0
582, 76.658414, 659.772163, 33.443437, 0.059855, 6343, 4677.0
583, 72.713626, 660.671675, 40.520746, 0.088276, 6378, 5144.0
584, 72.570485, 661.456405, 38.188271, 0.041707, 6400, 4695.0
585, 68.793501, 660.782236, 43.234126, 0.070365, 6430, 4593.0
586, 73.313602, 660.241238, 39.621014, 0.067307, 6394, 4567.0
587, 75.128226, 660.277939, 29.970889, 0.042214, 6378, 4618.0
588, 70.254487, 660.695241, 39.121679, 0.081576, 6428, 4593.0
589, 71.104327, 660.827598, 43.130371, 0.093184, 6405, 4571.0
590, 72.132714, 661.287654, 38.696923, 0.058903, 6411, 4643.0
591, 68.635421, 663.294069, 40.978169, 0.159627, 6425, 4564.0
592, 75.950915, 659.387802, 37.092214, 0.062461, 6360, 4532.0
593, 73.345902, 661.209566, 40.117060, 0.052599, 6406, 4646.0
594, 70.651968, 663.987757, 39.599470, 0.136574, 6424, 4580.0
595, 72.357502, 661.127930, 35.684570, 0.032573, 6407, 4561.0
596, 68.254922, 662.607325, 42.237085, 0.118276, 6426, 4667.0
597, 72.727976, 661.938121, 38.264495, 0.011908, 6425, 4627.0
598, 70.440214, 662.104859, 37.887372, 0.031613, 6432, 4630.0
599, 75.640408, 660.628046, 33.979470, 0.057348, 6379, 4598.0
600, 74.188584, 661.400582, 37.439096, 0.047023, 6410, 4563.0
601, 73.360826, 660.559483, 38.665233, 0.108649, 6382, 4740.0
602, 70.033505, 662.707871, 34.771949, 0.052603, 6428, 4641.0
603, 72.378664, 661.465840, 37.935596, 0.042250, 6414, 4652.0
604, 72.903843, 659.781933, 33.688593, 0.067593, 6371, 4564.0
605, 79.666547, 658.106777, 35.626354, 0.180099, 6306, 4559.0
606, 72.051529, 661.174581, 35.761401, 0.082124, 6390, 4613.0
607, 73.212611, 660.700189, 38.675758, 0.053855, 6399, 4625.0
608, 71.199669, 662.365113, 41.279354, 0.178925, 6405, 4667.0
609, 77.366410, 659.709540, 31.928236, 0.060144, 6358, 4582.0
610, 68.774312, 664.703214, 38.680059, 0.214888, 6427, 4569.0
611, 71.770733, 661.101586, 41.733624, 0.061981, 6402, 4586.0
612, 75.354218, 660.056740, 32.927034, 0.053635, 6379, 4600.0
613, 69.489438, 662.369870, 42.564377, 0.137536, 6430, 4588.0
614, 73.422130, 660.430428, 33.030896, 0.056644, 6431, 4605.0
615, 69.610750, 663.461280, 40.166925, 0.170897, 6430, 4661.0
616, 73.639724, 659.133318, 37.343207, 0.043312, 6383, 4546.0
617, 68.089351, 661.544171, 42.859835, 0.109460, 6424, 4617.0
618, 70.790783, 662.790107, 41.130073, 0.050128, 6427, 4716.0
